Medicine_ID,Counterfeit_Weight,DistArea_ID,Active_Since,Medicine_MRP,Medicine_Type,SidEffect_Level,Availability_rating,Area_Type,Area_City_Type,Area_dist_level,Counterfeit_Sales
RRA15,13.1,Area046,1995,160.2366,Antimalarial,critical,0.070421582,DownTown,Tier 1,Small,1775.5026
YVV26,,Area027,1983,110.4384,Mstablizers,mild,0.013000000000000001,CityLimits,Tier 3,Medium,3069.152
LJC15,9.025,Area046,1995,259.4092,Cardiac,mild,0.060782959000000004,DownTown,Tier 1,Small,2603.092
GWC40,11.8,Area046,1995,99.98299999999999,OralContraceptives,mild,0.065555346,DownTown,Tier 1,Small,1101.713
QMN13,,Area019,1983,56.4402,Hreplacements,critical,0.248859408,MidTownResidential,Tier 1,Small,158.9402
JDG81,8.775,Area045,2000,165.5656,Antiseptics,mild,0.088881475,DownTown,Tier 2,Unknown,3047.8464
KPX48,18.0,Area018,2007,156.9102,Hreplacements,critical,0.051685176,Industrial,Tier 3,Medium,2883.3938
CYW14,7.68,Area013,1985,154.347,Antiseptics,mild,0.028149955,DownTown,Tier 3,High,3262.2340000000004
TVF57,18.55,Area046,1995,107.3068,Hreplacements,critical,0.06026621099999999,DownTown,Tier 1,Small,1959.9292
MGU75,9.51,Area013,1985,161.1392,Statins,mild,0.023755465,DownTown,Tier 3,High,3095.784
SAC31,9.27,Area018,2007,182.3422,Analgesics,mild,0.013000000000000001,Industrial,Tier 3,Medium,5803.5926
TTM88,18.15,Area018,2007,104.012,Cardiac,critical,0.039627857,Industrial,Tier 3,Medium,858.696
RUT58,,Area019,1983,118.52799999999999,MuscleRelaxants,mild,0.036402893,MidTownResidential,Tier 1,Small,326.056
ZSC82,13.9,Area017,2005,182.8764,Mstablizers,critical,0.044713126,DownTown,Tier 2,Unknown,1143.6584
ZFZ28,20.3,Area010,1996,238.572,Antibiotics,critical,0.18615407899999997,MidTownResidential,Tier 3,Unknown,565.744
KZP71,22.55,Area013,1985,129.6756,Hreplacements,mild,0.032407069,DownTown,Tier 3,High,3384.7412
OMS12,13.3,Area046,1995,132.2388,Mstablizers,mild,0.08854831,DownTown,Tier 1,Small,3332.8088
RWD64,21.65,Area010,1996,93.0276,Antimalarial,critical,0.265865979,MidTownResidential,Tier 3,Unknown,275.4552
TIE50,20.05,Area013,1985,224.4218,Antiseptics,mild,0.047278798,DownTown,Tier 3,High,4601.1578
CCH12,15.45,Area035,2002,136.6046,Antifungal,mild,0.050901580999999994,DownTown,Tier 2,Small,2727.5966
KAE47,19.05,Area045,2000,150.2838,Antibiotics,critical,0.013000000000000001,DownTown,Tier 2,Unknown,2079.7732
WXP11,13.9,Area035,2002,61.0982,Antiviral,mild,0.06906697,DownTown,Tier 2,Small,586.3838
MXD18,16.4,Area035,2002,253.4512,Antimalarial,mild,0.065329172,DownTown,Tier 2,Small,4717.6728
HPK57,11.4,Area017,2005,163.7656,Tranquilizers,mild,0.043379382,DownTown,Tier 2,Unknown,1966.5872
DMF12,20.9,Area046,1995,115.9964,Antiseptics,mild,0.036951148999999996,DownTown,Tier 1,Small,1690.9460000000001
DVT10,13.4,Area045,2000,66.5614,Analgesics,critical,0.07429960099999999,DownTown,Tier 2,Unknown,665.6139999999999
DOS34,18.8,Area017,2005,182.0738,Analgesics,mild,0.111457814,DownTown,Tier 2,Unknown,2545.8332
ZDE75,22.0,Area035,2002,163.1366,Antiseptics,mild,0.052238384000000006,DownTown,Tier 2,Small,2682.3222
KSE64,11.6,Area018,2007,184.7422,Mstablizers,critical,0.037998007,Industrial,Tier 3,Medium,3561.844
LRF62,13.6,Area018,2007,126.7834,Hreplacements,mild,0.013000000000000001,Industrial,Tier 3,Medium,1955.9344
WAF13,18.3,Area018,2007,275.4884,Cardiac,critical,0.153090284,Industrial,Tier 3,Medium,6472.7216
BMX49,8.69,Area017,2005,150.7812,Tranquilizers,mild,0.081163102,DownTown,Tier 2,Unknown,2535.1804
ZAM11,19.65,Area010,1996,97.8882,Antibiotics,critical,0.17083357,MidTownResidential,Tier 3,Unknown,284.7764
PEQ68,6.335,Area013,1985,236.6036,Antacids,critical,0.092844043,DownTown,Tier 3,High,4211.6648
LRF62,13.6,Area049,1997,126.2834,Hreplacements,mild,0.049997104,DownTown,Tier 1,Medium,2186.3012
OLD10,19.0,Area046,1995,194.6924,Antifungal,critical,0.013000000000000001,DownTown,Tier 1,Small,4370.1252
NNX49,,Area027,1983,255.7144,Antibiotics,mild,0.062478259,CityLimits,Tier 3,Medium,3788.216
INK89,10.51,Area045,2000,130.1414,Antibiotics,mild,0.021782561000000002,DownTown,Tier 2,Unknown,1453.2554
QIN25,22.05,Area045,2000,162.2024,Analgesics,mild,0.034293097,DownTown,Tier 2,Unknown,2845.4432
JVG23,17.65,Area046,1995,208.511,Antiseptics,mild,0.103562192,DownTown,Tier 1,Small,2077.11
EOX12,16.4,Area017,2005,150.8496,Antiseptics,mild,0.069155909,DownTown,Tier 2,Unknown,2794.8424
